Filename,Checkout_No,Type ,Sensor_Make,Sensor_Model,Sensor_SN,Limits,Dimensions,Site,,
009-12-05-08,130,Temperature/Humidity,Rotronic,MP101A,123720,(-)30 - (+)70,degree,B,,
009-12-05-08,130,Barometer,Vaisala,PTB210,B3040001,500 - 1100,hPa,B,,
009-12-05-08,130,Anemometer,Gill,Windsonic,034945,0 - 60,m/s,B,,
009-12-05-08,130,Conductivity,Aanderaa,3919B,694,0 - 75,mmho/cm,B,,
009-12-05-08,130,Argos,Seimac,Wildcat,67701,N/A,N/A,B,,
009-12-05-08,130,GPS,Garmin,16,N/A,N/A,N/A,B,,
009-12-05-08,130,Modem,Qualcomm,GSP 1620,740408AC,N/A,N/A,B,,
010-02-28-07,134,Temperature/Humidity,Rotronic, MP101A ,123722,0-100,%,N,,
010-02-28-07,134,Current Sensor ,Anderaa, DCS 3820R ,508,0-300,cm/s,N,,
010-02-28-07,134,Compass ,Honeywell, HMR3300 ,N/A,0-360,d Mag.,N,,
010-02-28-07,134,Temperature/Humidity,Rotronic, MP101A ,123722,(-)30 - (+)70,deg. C,N,,
010-02-28-07,134,Barometer,Vaisala, PTB210 ,A4930037,500 - 1100,hPa,N,,
010-02-28-07,134,Anemometer ,Gill, Windsonic ,061630,0-60,m/s,N,,
010-02-28-07,134,Conductivity,Aanderaa,3919B,36,0 - 75,mmho/cm,N,,
010-02-28-07,134,Argos,Seimac, Wildcat ,18199,N/A,N/A,N,,
010-02-28-07,134,GPS,Garmin ,16 ,N/A,N/A,N/A,N,,
010-02-28-07,134,Modem,Qualcomm, GSP 1620 ,74040899,N/A,N/A,N,,
010-07-11-06,133,Temperature/Humidity,Rotronic, MP101A ,118840,0-100,%,V,,
010-07-11-06,133,Current Sensor ,Anderaa, DCS 3900R ,508,0-300,cm/s,V,,
010-07-11-06,133,Compass ,Honeywell, HMR3300 ,N/A,0-360,d Mag.,V,,
010-07-11-06,133,Temperature/Humidity,Rotronic, MP101A ,118840,(-)30 - (+)70,deg. C,V,,
