Deployment date,,,,,Sensor,,,Deployment date,Deployment time,Recovery date,Recovery time,,,inclination,Comments,lat,lon,inclination,,Comments,,,,,,
2/19/2000,,,R,,B-1560,,,2/19/2000,9:30:00,6/2/2000,11:30:00,,,3.53,Buoy_lost._Last_communicated_on_4/11/2000.,29.64728,93.63947,3.53,,Buoy_lost._Last_communicated_on_4/11/2000.,,,,,,208
2/20/2000,,,B,,B-1508,,,2/20/2000,0:00:00,6/2/2000,1:00:00,,,4.33,-,28.98283,94.9162,4.33,,-,,,,,,29
4/17/2000,,,J,,Unknown,,,4/17/2000,0:00:00,9/25/2000,6:00:00,,,5.57,Recovered_drifting.,26.18833,97.05067,5.57,,Recovered_drifting.,,,,,,146
6/1/2000,40016-2000-06-01,294,R,40016,B-1561,Motorola,R/V Longhorn,6/1/2000,,9/7/2000,,R/V Longhorn,98,,,,,,,,,,,,,
6/2/2000,,,R,,B-1561,,,6/2/2000,11:30:00,9/8/2000,13:30:00,,,3.53,Data_ceases_on_7/23/2000.,29.64728,93.63947,3.53,,Data_ceases_on_7/23/2000.,,,,,,209
6/2/2000,04-2000-06-02,201,B2,System 4,DCS3500,Sat,R/V Longhorn,6/2/2000,,11/20/2000,,R/V Gyre,171,,,,,,,,,,,,,
6/2/2000,,,B,,DCS3500,,,6/2/2000,1:00:00,11/20/2000,4:30:00,,,4.33,Data_is_from_Buoy_B2,28.98283,94.9162,4.33,,Data_is_from_Buoy_B2,,,,,,30
6/4/2000,,,S,,Unknown,,,6/4/2000,16:00:00,7/20/2000,0:00:00,,,3.1,-,28.43642,92.81115,3.1,,-,,,,,,239
7/14/2000,,,D,,B-1539,,,7/14/2000,1:30:00,11/30/2000,20:00:00,,,5.42,Lost_on_11/30/2000,27.93295,96.8076,5.42,,Lost_on_11/30/2000,,,,,,79
7/20/2000,,,S,,B-1531,,,7/20/2000,0:00:00,9/7/2000,13:00:00,,,3.1,Recovered_on_San_Jose_Island.,28.43642,92.81115,3.1,,Recovered_on_San_Jose_Island.,,,,,,240
9/7/2000,,,S,,B-1529,,,9/7/2000,13:00:00,12/19/2000,0:00:00,,,3.1,Went_adrift_on_12/17/2000.,28.43642,92.81115,3.1,,Went_adrift_on_12/17/2000.,,,,,,241
9/7/2000,80086-2000-09-07,303,S,80086,B-1529,Motorola,R/V Longhorn,9/7/2000,,12/19/2000,,Coast Guard,103,,,,,,,,,,,,,
9/7/2000,40014-2000-09-07,290,R,40014,B-1557,Motorola,R/V Longhorn,9/7/2000,,9/25/2000,,R/V Gyre,18,,,,,,,,,,,,,
9/8/2000,,,R,,B-1557,,,9/8/2000,13:30:00,9/25/2000,14:30:00,,,3.53,Lost_communications._Broken_cellular_antenna.,29.64728,93.63947,3.53,,Lost_communications._Broken_cellular_antenna.,,,,,,210
10/21/2000,,,J,,B-1433,,,10/21/2000,13:00:00,4/27/2001,13:30:00,,,5.57,Velocity_data_ceases_after_3/28/2001.,26.18833,97.05067,5.57,,Velocity_data_ceases_after_3/28/2001.,,,,,,147
11/20/2000,,,B,,B-1558,,,11/20/2000,20:00:00,5/2/2001,0:00:00,,,4.33,-,28.98283,94.9162,4.33,,-,,,,,,31
11/21/2000,,,F,,B-1557,,,11/21/2000,5:30:00,3/25/2001,13:00:00,,,3.95,-,28.836,94.2355,3.95,,-,,,,,,114
11/21/2000,,,R,,B-1561,,,11/21/2000,8:30:00,3/27/2001,5:00:00,,,3.53,Data_ceases_on_12/24/2000.,29.64728,93.63947,3.53,,Data_ceases_on_12/24/2000.,,,,,,211
11/22/2000,40016-2000-11-22,293,R,40016,B-1561,Motorola,R/V Gyre,11/22/2000,,3/26/2001,,R/V Gyre,124,,,,,,,,,,,,,
11/30/2000,,,D,,B-1528,,,11/30/2000,20:00:00,4/5/2001,3:00:00,,,5.42,Recovered_on_shore._Mooring_cut,27.93295,96.8076,5.42,,Recovered_on_shore._Mooring_cut,,,,,,80
2/19/2001,06-2001-02-19,310,T,System 6,1500,Sat,R/V Pelican,2/19/2001,,5/23/2001,,R/V Pelican,93,,,,,,,,,,,,,
2/19/2001,05-2001-02-19,313,U,System 5,ADCP-1033,Sat,R/V Pelican,2/19/2001,,3/24/2001,,R/V Gyre,33,,,,,,,,,,,,,
3/21/2001,80086-2001-03-21,240,F,80086,DCS/16,Motorola,R/V Gyre,3/21/2001,,6/19/2001,,R/V Gyre,90,,,,,,,,,,,,,
3/21/2001,,,V,,ADCP003,,,3/21/2001,0:00:00,9/23/2001,22:30:00,,,4.75,Data_from_first_bin_of_ADCP,27.8958,93.6125,4.75,,Data_from_first_bin_of_ADCP,,,,,,243
3/26/2001,50039-2001-03-26,296,R,50039,DCS/17,Motorola,R/V Gyre,3/26/2001,,9/23/2001,,R/V Gyre,181,,,,,,,,,,,,,
3/27/2001,,,R,,DCS3900,,,3/27/2001,5:00:00,9/23/2001,0:00:00,,,3.43,-,29.64728,93.63947,3.43,,-,,,,,,212
3/27/2001,,,S,,DCS3500,,,3/27/2001,12:00:00,7/26/2001,0:00:00,,,3,Recovered_with_bent_hull._Site_discontinued_in_fav,28.43642,92.81115,3,,Recovered_with_bent_hull._Site_discontinued_in_fav,,,,,,242
3/28/2001,,,F,,DCS3900,,,3/28/2001,13:00:00,6/19/2001,0:00:00,,,3.83,Stopped_communicating._Data_ceases_after_5/18/2001,28.836,94.2355,3.83,,Stopped_communicating._Data_ceases_after_5/18/2001,,,,,,115
4/17/2001,01-2001-04-17,268,J,System 1,,Sat,R/V Longhorn,4/17/2001,,9/25/2001,,R/V Longhorn,161,,,,,,,,,,,,,
